"rank","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Players","Playtime (Median)","Developer(s)","Publisher(s)"
"735","Overdosed - A Trip To Hell","May 23, 2016","$6.99","N/A (N/A)","3,603 ±1,761","2,252 ±1,392","03:23 (03:21)","Lazy Games Studio Ltd","Lazy Games Studio Ltd"
"798","Dragonpath","Jul 6, 2016","$7.99","N/A (N/A)","3,603 ±1,761","2,477 ±1,460","06:24 (04:45)","Ebonscale Games","Ebonscale Games"
"871","Tornuffalo","Dec 12, 2016","$0.99","N/A (N/A)","3,603 ±1,761","2,928 ±1,587","00:09 (00:10)","RealityRig","RealityRig"
"926","Steam Squad","Jul 28, 2016","$17.99","N/A (N/A)","3,603 ±1,761","2,477 ±1,460","02:51 (04:56)","Bretwalda Games","Bretwalda Games"
"1030","Pump-Action Captain","Aug 20, 2015","$9.99","N/A (N/A)","3,603 ±1,761","1,351 ±1,078","00:23 (00:08)","BrainDead Games",""
"302","Nature Treks VR","May 4, 2017","$9.99","74% (90%)","3,378 ±1,705","3,378 ±1,705","00:56 (00:41)","John Carline","John Carline"
"327","Spider Wars","Nov 18, 2016","$14.99","N/A (N/A)","3,378 ±1,705","2,027 ±1,321","02:24 (02:47)","CarVin Interactive","CarVin Interactive"
"449","THE WALL","Jul 17, 2017","$1.99","71% (89%)","3,378 ±1,705","2,027 ±1,321","00:57 (01:41)","ZuoBuLaiGame","ZuoBuLaiGame"
"456","2017 VR","May 8, 2017","$19.99","45% (79%)","3,378 ±1,705","2,928 ±1,587","03:28 (04:37)","Tungsten Games","Tungsten Games"
"470","Jurassic Island: The Dinosaur Zoo","Nov 23, 2015","$3.99","N/A (N/A)","3,378 ±1,705","2,702 ±1,525","00:51 (01:40)","FrameLineNetwork","FrameLineNetwork"
"576","Fishermurs","Apr 14, 2017","$4.99","N/A (N/A)","3,378 ±1,705","1,126 ±984","05:45 (08:22)","Reward Hunters","Reward Hunters"
"661","Cranks and Goggles","Dec 21, 2016","$6.99","33% (73%)","3,378 ±1,705","3,153 ±1,647","01:43 (01:29)","Play Native Entertainment","Play Native Entertainment"
"694","CropDuster Supreme","Feb 23, 2017","$0.99","74% (90%)","3,378 ±1,705","2,477 ±1,460","02:29 (02:04)","kChamp Games","kChamp Games"
"714","Halloween Mysteries","Dec 5, 2016","$4.99","N/A (N/A)","3,378 ±1,705","1,576 ±1,165","03:49 (05:00)","Vyacheslav Ozolnieks, Andrey Omelchenko, Andrey Kashin","Vyacheslav Ozolnieks"
"777","Kitten Rampage","Sep 6, 2017","$9.99","N/A (N/A)","3,378 ±1,705","2,702 ±1,525","04:58 (07:17)","Dexmes","Dexmes"
"814","Super Slam Dunk Touchdown","Dec 16, 2015","$12.75","N/A (N/A)","3,378 ±1,705","1,126 ±984","00:42 (00:37)","Tipping Goat LLC","Tipping Goat LLC"
"819","ViveSpray","Nov 25, 2016","$6.99","23% (66%)","3,378 ±1,705","3,153 ±1,647","01:21 (01:20)","ciwolsey","ciwolsey"
"823","Aerial Destruction","May 18, 2017","$3.99","N/A (N/A)","3,378 ±1,705","1,576 ±1,165","06:12 (12:15)","Devdan Games","Devdan Games"
"950","Mortos","Nov 14, 2016","$2.99","N/A (N/A)","3,378 ±1,705","2,477 ±1,460","03:37 (02:56)","Cargiolli Luciano","JustPlayNow"
"939","Virtual Battlemap","Jul 20, 2016","$29.99","19% (62%)","3,342 ±2,068","3,342 ±2,068","17:06 (11:10)","Dragom","Dragom"
"326","Trials of Azra","Sep 15, 2016","$9.99","N/A (N/A)","3,153 ±1,647","1,802 ±1,245","07:16 (12:14)","Onion Core","Onion Core"
"465","Tinertia","Sep 3, 2015","$11.99","N/A (N/A)","3,153 ±1,647","2,252 ±1,392","02:45 (03:04)","Candescent Games, Section Studios","Candescent & Section"
"517","Salvage Op","Dec 12, 2016","$4.99","N/A (N/A)","3,153 ±1,647","450 ±622","00:11 (00:07)","D.W.S.","D.W.S."
"658","Tidal Affair: Before The Storm","Nov 24, 2015","$1.99","N/A (N/A)","3,153 ±1,647","1,126 ±984","01:40 (01:46)","Overcurfew","Overcurfew"
"759","Halloween Forever","Oct 25, 2016","$4.99","89% (94%)","3,153 ±1,647","2,928 ±1,587","01:49 (01:21)","Imaginary Monsters","Imaginary Monsters"
"788","BOMB: Who let the dogfight?","Jul 29, 2015","$7.99","17% (61%)","3,153 ±1,647","2,702 ±1,525","01:56 (03:01)","La Moustache Studio","La Moustache Studio"
"812","Dwarven Brawl Bros","Jun 25, 2015","$4.99","N/A (N/A)","3,153 ±1,647","2,928 ±1,587","01:40 (02:08)","Dwarves Might Fly","Dwarves Might Fly"
"836","Event Horizon","Apr 30, 2016","$5.99","N/A (N/A)","3,153 ±1,647","676 ±762","03:25 (01:41)","Pavel Zinchenko","Pavel Zinchenko"
"839","Tribocalypse VR","Feb 3, 2017","$6.99","N/A (N/A)","3,153 ±1,647","901 ±880","00:07 (00:04)","Totemic Entertainment Ltd","Totemic Entertainment Ltd"
"876","Devouring Stars","Jul 3, 2015","$9.99","N/A (N/A)","3,153 ±1,647","2,477 ±1,460","05:18 (09:37)","Nerial","BulkyPix"
"963","Rock 'N Roll","Aug 28, 2017","$3.99","N/A (N/A)","3,153 ±1,647","225 ±440","00:01 (00:00)","ZaxtorGameS","ZaxtorGameS"
"1021","Elisa: the Innkeeper","Mar 28, 2017","$9.99","N/A (N/A)","3,153 ±1,647","1,576 ±1,165","04:59 (03:00)","Neoclassic Games","Neoclassic Games"
"1043","Odyssey - The Next Generation Science Game","Apr 19, 2017","$14.99","57% (84%)","3,153 ±1,647","1,802 ±1,245","01:29 (00:47)","The Young Socratics","The Young Socratics"
"360","VR Toolbox: 360 Desktop","Dec 26, 2016","$13.99","N/A (N/A)","3,008 ±1,962","1,337 ±1,308","00:28 (00:27)","MyDream Interactive Inc.","MyDream Interactive Inc."
"341","RunVR","Jun 19, 2017","$5.99","N/A (N/A)","2,928 ±1,587","1,576 ±1,165","01:19 (01:22)","Smoketree Studios","Smoketree Studios"
"356","Fugl Meditative bird flying game","Sep 14, 2017","$9.99","65% (87%)","2,928 ±1,587","2,477 ±1,460","00:41 (00:29)","Team Fugl","Kotori Studios Ltd"
"478","The Path of Greatest Resistance","Feb 17, 2017","$3.99","N/A (N/A)","2,928 ±1,587","2,928 ±1,587","00:11 (00:12)","RealityRig","RealityRig"
"483","ENYO Arcade","Nov 9, 2015","$4.99","N/A (N/A)","2,928 ±1,587","1,802 ±1,245","01:41 (02:59)","James Mearman","www.dev-zoo.net"
"596","Boyar","Dec 14, 2016","$0.99","N/A (N/A)","2,928 ±1,587","901 ±880","01:01 (00:42)","Indie Dynamics","Indie Dynamics"
"604","Armor Clash","Oct 21, 2015","$4.99","26% (68%)","2,928 ±1,587","2,702 ±1,525","09:34 (16:34)","Windforce","Windforce"
"672","We Slay Monsters","Jun 21, 2017","$13.99","N/A (N/A)","2,928 ±1,587","2,252 ±1,392","04:09 (05:46)","Furiously Inactive Games","Furiously Inactive Games"
"682","VRobot","Apr 20, 2017","$14.99","N/A (N/A)","2,928 ±1,587","2,702 ±1,525","01:08 (01:37)","Luden.io","Nival"
"700","ALONE? - VR","Oct 7, 2016","$14.99","N/A (N/A)","2,928 ±1,587","2,252 ±1,392","01:55 (02:35)","Deceptive Games Ltd.","Deceptive Games Ltd."
"818","Chamber 19","Oct 21, 2016","$14.99","N/A (N/A)","2,928 ±1,587","901 ±880","01:23 (01:49)","Deepak M., Grant B.","Deepak M., Grant B."
"866","GiAnt","Aug 2, 2016","$4.99","N/A (N/A)","2,928 ±1,587","450 ±622","00:16 (00:10)","Wreck Tangle Games","Wreck Tangle Games"
"890","Prevent The Fall","Jul 31, 2017","$9.99","N/A (N/A)","2,928 ±1,587","1,351 ±1,078","06:54 (12:58)","D.W.S","D.W.S."
"971","Energy Hook","Jul 5, 2016","$17.99","N/A (N/A)","2,928 ±1,587","1,576 ±1,165","00:43 (00:53)","Happion Labs","Happion Labs"
"981","Other Worlds India","Jan 20, 2017","$1.99","N/A (N/A)","2,928 ±1,587","1,576 ±1,165","02:01 (03:05)","SharF Co.","SharF Co."
"381","Quest Hunter","Jul 31, 2017","$14.99","N/A (N/A)","2,702 ±1,525","2,702 ±1,525","01:34 (01:37)","2 Zombie Games","2 Zombie Games"
"522","RaidersSphere4th","Jun 1, 2015","$4.99","N/A (N/A)","2,702 ±1,525","1,802 ±1,245","03:08 (03:53)","Rectangle","Sekai Project"
"587","Castle Torgeath: Descent into Darkness","Dec 15, 2016","$7.99","N/A (N/A)","2,702 ±1,525","2,027 ±1,321","01:38 (01:55)","Dungeoneering Studios","Black Shell Media"
"589","Super Kaiju","Dec 6, 2016","$19.99","N/A (N/A)","2,702 ±1,525","2,702 ±1,525","01:50 (01:15)","Directive Games Limited","Directive Games Limited"
"846","Last Days of Old Earth","Jun 7, 2016","$24.99","N/A (N/A/66%)","2,702 ±1,525","2,027 ±1,321","06:03 (05:04)","Auroch Digital","Slitherine Ltd."
"850","The Grand Canyon VR Experience","Jan 13, 2017","$2.99","N/A (N/A)","2,702 ±1,525","2,702 ±1,525","00:38 (00:48)","Immersive Entertainment, Inc.","Immersive Entertainment, Inc"
"864","Mars 2030","Mar 11, 2016","$4.99","N/A (N/A)","2,702 ±1,525","1,576 ±1,165","03:56 (04:50)","Advent RPG","Advent RPG"
"966","Epic Space: Online","May 8, 2014","$17.99","0% (16%)","2,702 ±1,525","2,477 ±1,460","02:15 (02:00)","The Alpha Company","The Alpha Company"
"974","Unfortunate Spacemen","May 6, 2016","$14.99","45% (79%)","2,702 ±1,525","1,802 ±1,245","07:54 (10:21)","Geoff ""Zag"" Keene","New Blood Interactive"
"338","RuneSage","Sep 28, 2017","$8.99","N/A (N/A)","2,674 ±1,849","1,671 ±1,462","01:31 (01:54)","George Gilbert","George Gilbert"
"354","Spaceship Looter","May 17, 2017","$9.99","N/A (N/A)","2,674 ±1,849","1,337 ±1,308","03:39 (04:19)","Luxorix Games","Luxorix Games"
"800","FourChords Guitar Karaoke","Sep 29, 2016","$19.99","N/A (N/A)","2,674 ±1,849","2,339 ±1,730","07:10 (00:34)","Musopia","Musopia"
"1018","TAIKER","Nov 30, 2016","$9.99","N/A (N/A)","2,674 ±1,849","2,005 ±1,602","01:31 (01:02)","Team 4U","Team 4U"
"1037","SpiritSphere","Jan 23, 2017","$7.99","N/A (N/A/64%)","2,674 ±1,849","1,003 ±1,132","03:35 (02:57)","Eendhoorn Games","Eendhoorn Games"
"601","Rogue Continuum","Oct 4, 2016","$9.99","N/A (N/A)","2,635 ±2,580","2,635 ±2,580","05:16 (08:06)","Rocktastic Games","Rocktastic Games"
"741","World VR Competition","Dec 6, 2016","$11.99","N/A (N/A)","2,635 ±2,580","1,317 ±1,824","01:39 (03:13)","MT Worlds","MT Worlds"
"763","Rivais Em Batalha","Mar 29, 2017","$5.99","N/A (N/A)","2,635 ±2,580","1,317 ±1,824","01:03 (01:56)","Art Games","Art Games, Mamilos Club Studios"
"325","Infinite Mini Golf","Jul 25, 2017","$14.99","N/A (N/A)","2,477 ±1,460","2,477 ±1,460","03:25 (02:53)","Zen Studios","Zen Studios"
"436","Ratty Catty","Sep 19, 2017","$7.49","62% (86%)","2,477 ±1,460","2,477 ±1,460","02:35 (02:14)","Kerim Kumbasar","Kerim Kumbasar"
"586","Wacky Wheels HD","Oct 26, 2016","$9.99","N/A (N/A)","2,477 ±1,460","2,027 ±1,321","00:26 (00:20)","Ferocity 2D","Ferocity 2D"
"616","Gem Hunter","Apr 28, 2017","$5.99","N/A (N/A)","2,477 ±1,460","450 ±622","00:09 (00:04)","FoxLeap","FoxLeap"
"620","The Ritual on Weylyn Island","Dec 4, 2015","$4.99","N/A (N/A)","2,477 ±1,460","1,576 ±1,165","01:03 (00:49)","zemaGamez","zemaGamez"
"659","CDF Starfighter VR","May 26, 2017","$14.99","19% (62%)","2,477 ±1,460","2,027 ±1,321","01:57 (01:02)","Shaun Williams","ShaunWilliams"
"678","Vision of Aurora Borealis","Aug 22, 2016","$3.99","N/A (N/A)","2,477 ±1,460","1,351 ±1,078","02:04 (03:02)","Purin Productions","Purin Productions"
"691","Unveil","Apr 19, 2016","$14.99","N/A (N/A)","2,477 ±1,460","2,252 ±1,392","03:16 (04:22)","Particle Studios","Particle Studios"
"717","MechRunner","Jul 15, 2016","$7.99","N/A (N/A)","2,477 ±1,460","1,126 ±984","03:03 (02:25)","Spark Plug Games","Spark Plug Games"
"840","Crazy Fishing","May 25, 2017","$19.99","N/A (N/A)","2,477 ±1,460","2,252 ±1,392","01:39 (00:52)","Mana Wings","Mana Wings"
"889","THOSE DAMN ALIENS! VR","Feb 14, 2017","$7.99","N/A (N/A)","2,477 ±1,460","1,351 ±1,078","02:19 (02:46)","Deceptive Games Ltd.","Deceptive Games Ltd."
"907","Trigger Saint","Oct 9, 2015","$6.99","N/A (N/A)","2,477 ±1,460","225 ±440","04:50 (01:36)","Aaron Arcand","Undergroundies"
"1001","Economic Conquest","May 24, 2017","$4.99","N/A (N/A)","2,477 ±1,460","1,351 ±1,078","02:18 (02:24)","Frismos","Frismos"
"542","Stars","Aug 30, 2016","$14.99","N/A (N/A)","2,339 ±1,730","1,671 ±1,462","00:11 (00:13)","MatrixStudio","MatrixStudio"
"922","Happy Drummer VR","Jan 24, 2017","$9.99","N/A (N/A)","2,339 ±1,730","1,671 ±1,462","01:34 (01:40)","Lusionsoft","Lusionsoft"
"948","Race Online","Apr 5, 2017","$11.99","N/A (N/A)","2,339 ±1,730","2,005 ±1,602","05:25 (03:15)","Iceflake Studios","Iceflake Studios"
"309","Rise of Insanity","Aug 3, 2017","$6.99","57% (84%)","2,252 ±1,392","2,027 ±1,321","00:50 (01:05)","Red Limb Studio","Red Limb Studio"
"476","Ancient Go","May 30, 2017","$4.99","N/A (N/A)","2,252 ±1,392","2,252 ±1,392","00:57 (00:51)","Hart Laboratories LLC","Hart Laboratories LLC"
"479","Sin Castle","Jun 19, 2017","$4.99","49% (81%)","2,252 ±1,392","1,576 ±1,165","08:14 (16:38)","Primary cells studio","Primary cells studio"
"577","VRemin (A Virtual Theremin)","Feb 6, 2017","$0.99","N/A (N/A)","2,252 ±1,392","1,576 ±1,165","00:30 (00:05)","hOSHI","hOSHI"
"622","UTOPIA 9 - A Volatile Vacation","May 5, 2016","$11.99","65% (87%)","2,252 ±1,392","1,802 ±1,245","02:56 (03:57)","Whalegun","Whalegun"
"760","Alien Blitz","May 9, 2016","$6.99","N/A (N/A)","2,252 ±1,392","1,351 ±1,078","03:49 (04:22)","Jean-Baptiste Simillon","Jean-Baptiste Simillon"
"901","Momento Temporis: Light from the Deep","Oct 27, 2016","$4.99","N/A (N/A)","2,252 ±1,392","901 ±880","00:04 (00:03)","Burning Ice Games","Burning Ice Games"
"959","Saga of the Void: Admirals","Aug 2, 2017","$7.99","N/A (N/A)","2,252 ±1,392","1,351 ±1,078","00:35 (00:40)","RowlesCorp Studios","Self-Published"
"978","Mervils: A VR Adventure","Oct 25, 2016","$19.99","N/A (N/A)","2,252 ±1,392","1,576 ±1,165","01:09 (01:14)","VitruviusVR","VitruviusVR"
"1013","Into the Belly of the Beast","Jun 22, 2016","$14.99","N/A (N/A)","2,252 ±1,392","225 ±440","00:15 (00:05)","Lucky Brograms","Lucky Brograms"
"1019","Near Midnight","Oct 13, 2016","$0.99","N/A (N/A)","2,252 ±1,392","450 ±622","00:18 (00:12)","Indie Dynamics","Indie Dynamics"
"445","Special Tactics","Apr 26, 2016","$4.99","N/A (N/A)","2,027 ±1,321","1,351 ±1,078","02:34 (02:57)","Beast Mode Games","Beast Mode Games"
"523","INIT.","Aug 19, 2015","$1.99","N/A (N/A)","2,027 ±1,321","1,576 ±1,165","02:05 (03:04)","Narrow Monolith","Narrow Monolith"
"583","Grand Designer","Apr 13, 2016","$49.99","N/A (N/A)","2,027 ±1,321","1,802 ±1,245","61:36 (147:18)","Ignishot","Ignishot"
"727","Revenge: Rhobar's myth","Sep 8, 2015","$4.99","N/A (N/A)","2,027 ±1,321","1,126 ±984","03:02 (03:51)","Polygon Art","Polygon Art"
"808","REVERSE SIDE","Jul 30, 2015","$13.99","5% (41%)","2,027 ±1,321","901 ±880","00:24 (00:28)","REEW GAMES","REEW GAMES"
"816","Toy Plane Heroes","Jun 8, 2017","$9.99","N/A (N/A)","2,027 ±1,321","1,802 ±1,245","01:21 (02:02)","Oasis VR","Oasis VR"
"849","XNemesis","Jun 7, 2016","$1.99","N/A (N/A)","2,027 ±1,321","1,126 ±984","08:21 (07:16)","XProd Games","XProd Games"
"855","Operation Warcade VR","Aug 4, 2017","$19.99","99% (98%)","2,027 ±1,321","1,576 ±1,165","02:00 (02:18)","Ivanovich Games","Ivanovich Games"
"888","Crypt Cards","May 15, 2017","Free","N/A (N/A)","2,027 ±1,321","1,126 ±984","00:02 (00:01)","Aperico Software","Aperico Software"
"539","Heroes of Loot 2","Jun 7, 2016","$9.99","N/A (N/A)","2,005 ±1,602","2,005 ±1,602","02:32 (03:36)","Orangepixel","Orangepixel"
"608","Babel: Tower to the Gods","Apr 5, 2016","$9.99","N/A (N/A)","2,005 ±1,602","1,671 ±1,462","01:41 (03:01)","Ruce","Ruce"
"1042","Legions of Tyrandel","Sep 22, 2017","$14.99","N/A (N/A)","1,976 ±2,234","1,317 ±1,824","02:07 (03:31)","Sleepy Spider Studios","Sleepy Spider Studios"
"317","Containment Initiative","Apr 14, 2017","$9.99","39% (76%)","1,802 ±1,245","1,351 ±1,078","01:41 (02:24)","Gwyn Games","Gwyn Games"
"524","Devoured Time","Aug 8, 2016","$10.99","N/A (N/A)","1,802 ±1,245","450 ±622","00:05 (00:03)","William","CRACKED PISTON LLC 2014"
"636","Concealed Intent","Aug 2, 2016","$14.99","N/A (N/A)","1,802 ±1,245","1,351 ±1,078","01:04 (01:06)","Jarrah Technology","Jarrah Technology"
"693","Sunken","May 26, 2016","$9.99","N/A (N/A)","1,802 ±1,245","1,351 ±1,078","11:13 (17:39)","Hit the Crow",""
"778","Void Raiders","Jun 14, 2016","$4.99","N/A (N/A)","1,802 ±1,245","1,126 ±984","00:53 (01:25)","Tryzna83","Tryzna83"
"859","Bears Can't Drift!?","Aug 8, 2016","$9.99","N/A (N/A)","1,802 ±1,245","1,576 ±1,165","01:56 (01:09)","Arran Langmead","Strangely Named Studio"
"880","Slybots: Frantic Zone","Jan 18, 2016","$6.99","N/A (N/A/65%)","1,802 ±1,245","1,351 ±1,078","03:29 (02:51)","Team ERROR, Tiny Colossus","Mangatar Games"
"903","Chunky Orbits","Dec 20, 2016","$1.99","N/A (N/A)","1,802 ±1,245","901 ±880","01:05 (01:26)","Don Whitaker","Brain Blinks"
"933","Gravity Lab - Gravitational Testing Facility & Observations","May 18, 2017","$19.99","N/A (N/A)","1,802 ±1,245","1,351 ±1,078","01:08 (01:22)","Mark Schramm","Mark Schramm"
"666","Quizality","Mar 14, 2017","$4.99","N/A (N/A)","1,671 ±1,462","334 ±654","00:22 (00:11)","UV Games Ltd","UV Games Ltd"
"773","Shadow Heroes: Vengeance In Flames","Nov 22, 2016","$2.99","N/A (N/A)","1,671 ±1,462","1,671 ±1,462","03:30 (05:10)","Allied Games Inc.","Allied Games Inc."
"843","Starlight Drifter","May 18, 2016","$12.99","N/A (N/A)","1,671 ±1,462","1,003 ±1,132","03:36 (04:48)","Dharker Studio","Dharker Studio"
"865","The Ables: Freepoint High","Apr 7, 2016","$2.99","N/A (N/A)","1,671 ±1,462","668 ±924","00:36 (00:22)","Qiwi Games, LLC, Graveck","Qiwi Games, LLC"
"1040","NIGHTSTAR","Mar 7, 2017","$9.99","N/A (N/A)","1,671 ±1,462","1,337 ±1,308","01:00 (01:42)","SOLIDMESH","SOLIDMESH"
"472","Blackfaun","Oct 26, 2016","$14.99","N/A (N/A)","1,576 ±1,165","1,126 ±984","02:43 (03:24)","Wild Guess Software","Wild Guess Software"
"504","Tricone Lab","Jul 27, 2017","$7.99","N/A (N/A)","1,576 ±1,165","1,126 ±984","02:42 (03:51)","Partickhill Games Limited","Partickhill Games Limited"
"511","Cosmos Crash VR","Dec 22, 2016","$9.99","N/A (N/A)","1,576 ±1,165","1,576 ±1,165","02:27 (02:53)","Viriver Network Technology Co., Ltd.","Viriver Network Technology Co., Ltd."
"514","Massive","Apr 14, 2016","$2.99","N/A (N/A)","1,576 ±1,165","676 ±762","00:30 (00:22)","Rootify","Rootify"
"536","Animated Puzzles","Dec 16, 2016","$9.99","N/A (N/A)","1,576 ±1,165","1,576 ±1,165","03:59 (05:57)","Mexond","Mexond"
"600","Mighty Switch Force! Academy","Nov 23, 2015","$9.99","N/A (N/A)","1,576 ±1,165","676 ±762","00:22 (00:13)","WayForward","WayForward"
"605","DARTHY","Feb 16, 2016","$0.99","N/A (N/A)","1,576 ±1,165","1,351 ±1,078","03:10 (03:37)","Collin, Kaleb, & Jeya","cwade games"
"732","Revolution : Virtual Playspace","Oct 5, 2016","$19.99","N/A (N/A)","1,576 ±1,165","1,351 ±1,078","01:10 (01:43)","Dragom","Dragom"
"822","ZombieFight VR","Jun 15, 2017","$19.99","N/A (N/A)","1,576 ±1,165","1,351 ±1,078","01:24 (01:13)","Beijing Elysium Interactive Technology Co.,Ltd.","Beijing Elysium Interactive Technology Co.,Ltd."
"877","Skyhook","May 17, 2016","$4.99","N/A (N/A)","1,576 ±1,165","1,351 ±1,078","05:50 (09:35)","Megastorm Games","Megastorm Games"
"973","SNIPER BLACKLIST","Aug 11, 2016","$0.99","N/A (N/A)","1,576 ±1,165","1,351 ±1,078","01:24 (01:39)","jago138","jago138"
"518","Super Stone Legacy","May 26, 2017","$9.99","N/A (N/A)","1,351 ±1,078","676 ±762","01:05 (01:01)","Garden Shed Studios","Garden Shed Studios"
"543","69 Ways to Kill a Zombie","Jun 8, 2017","$19.99","N/A (N/A)","1,351 ±1,078","225 ±440","00:25 (00:08)","Wadup Games","Wadup Games"
"571","Drift Into Eternity","Dec 13, 2016","$19.99","N/A (N/A)","1,351 ±1,078","450 ±622","02:18 (01:31)","We Are Bots","We Are Bots"
"598","Terraformer Expedition to Mars","Nov 20, 2015","$24.99","N/A (N/A)","1,351 ±1,078","901 ±880","12:51 (08:53)","Vermont Software Studios,LLC","Vermont Software Studios,LLC"
"683","The Sniper VR","Aug 25, 2017","$14.99","N/A (N/A)","1,351 ±1,078","1,351 ±1,078","01:22 (01:11)","iVRstudio","iVR, LLC."
"708","INFERNO CLIMBER","Sep 8, 2016","$29.99","N/A (N/A)","1,351 ±1,078","901 ±880","04:02 (00:22)","Arc System Works","Arc System Works"
"869","BowMage","Sep 26, 2016","$9.99","N/A (N/A)","1,351 ±1,078","1,126 ±984","01:56 (01:40)","Fusion Labz Corp.","Fusion Labz Corp."
"879","Hot Guns","Apr 28, 2017","$4.99","N/A (N/A)","1,351 ±1,078","450 ±622","01:20 (00:53)","Quantized Bit","Quantized Bit"
"891","Rat Simulator","Jul 27, 2017","$7.99","N/A (N/A)","1,351 ±1,078","1,126 ±984","03:30 (05:41)","Visualnoveler","Visualnoveler"
"960","TMM: Entourage","Aug 31, 2017","$9.99","N/A (N/A)","1,351 ±1,078","0 ±0","00:00 (00:00)","Chocolate Ship Games","Chocolate Ship Games"
"495","Diorama Worlds","Jun 13, 2017","$7.99","N/A (N/A)","1,337 ±1,308","1,003 ±1,132","00:07 (00:07)","Mixed Reality Worlds","Mixed Reality Worlds"
"614","Werther Quest","Jan 18, 2017","$3.99","N/A (N/A)","1,337 ±1,308","668 ±924","04:11 (02:19)","Blueberry Studio","HCP Entertainment"
"803","VR Photo Viewer","Jun 22, 2017","$14.99","N/A (N/A)","1,337 ±1,308","1,337 ±1,308","00:10 (00:10)","SprocketVR","SprocketVR"
"820","DreamDesk VR","Nov 30, 2016","$24.99","N/A (N/A)","1,337 ±1,308","1,337 ±1,308","00:07 (00:07)","We AR VR","We AR VR"
"831","Acaratus","May 25, 2017","$14.99","N/A (N/A)","1,337 ±1,308","1,003 ±1,132","01:47 (02:36)","Nodbrim Interactive","Nodbrim Interactive"
"852","Megalo Polis","Nov 1, 2016","$9.99","N/A (N/A)","1,337 ±1,308","668 ±924","16:05 (16:04)","Black Sheep studio","Black Sheep studio"
"936","Ultimate Arena","Sep 5, 2016","$11.15","14% (57%)","1,337 ±1,308","1,337 ±1,308","15:34 (26:07)","Kenneth Caselli, Gianmarco Rocco","AceGamer Network"
"989","Rebel Wings","Jul 8, 2016","$4.99","N/A (N/A)","1,337 ±1,308","668 ±924","02:18 (02:17)","Butlerstyle Entertainment","Butlerstyle Entertainment"
"429","BattleTrucks","Apr 3, 2017","$6.99","N/A (N/A)","1,317 ±1,824","1,317 ±1,824","00:03 (00:05)","BattleGames","BattleGames"
"584","Operation Hardcore","Dec 28, 2016","$5.99","N/A (N/A)","1,317 ±1,824","659 ±1,290","01:41 (01:41)","Adam McLellan, Ricardo Chirino","Adam McLellan"
"647","Qbike: Cyberpunk Motorcycles","Jul 28, 2017","$7.99","N/A (N/A)","1,317 ±1,824","0 ±0","00:00 (00:00)","GexagonVR","GexagonVR"
"668","Tom vs. The Armies of Hell","Jul 27, 2016","$12.99","N/A (N/A)","1,317 ±1,824","0 ±0","00:00 (00:00)","Darkmire Entertainment","Burgoon Entertainment, LLC."
"384","Starway Fleet","Aug 29, 2017","$9.99","N/A (N/A)","1,126 ±984","901 ±880","00:21 (00:24)","StormCube Games","StormCube Games"
"498","Fairspace","Oct 21, 2015","$8.99","N/A (N/A)","1,126 ±984","901 ±880","03:58 (03:55)","Sub Orbital Software","Sub Orbital Software"
"557","Bubble Labs VR","Jun 8, 2017","$2.99","N/A (N/A)","1,126 ±984","1,126 ±984","00:44 (00:32)","Kishan Emens (dev), Tavius Woods (art)","Kishan Emens"
"580","Solar System Conflict","Apr 6, 2015","$9.99","N/A (N/A)","1,126 ±984","901 ±880","00:52 (01:08)","UnexEvo","UnexEvo"
"590","Don't Drop the Bass","Mar 17, 2017","$4.99","N/A (N/A)","1,126 ±984","1,126 ±984","00:35 (00:30)","RadishBox","RadishBox"
"607","Axe, Bow & Staff","Sep 29, 2016","$2.49","N/A (N/A)","1,126 ±984","1,126 ±984","02:45 (03:05)","Clewcat Games","Clewcat Games"
"609","Rocket Ski Racing","Oct 13, 2016","$0.99","N/A (N/A)","1,126 ±984","676 ±762","00:05 (00:04)","nocanwin","nocanwin"
"638","Hairy Little Buggers","Jun 23, 2017","$3.44","N/A (N/A)","1,126 ±984","901 ±880","02:05 (01:24)","Michael Todd Games","Michael Todd Games"
"681","Void Rangers","May 11, 2017","$11.99","N/A (N/A)","1,126 ±984","676 ±762","02:02 (02:01)","Martin Senovsky","Martin Senovsky"
"761","Tatsu","Aug 29, 2016","$9.99","N/A (N/A)","1,126 ±984","901 ±880","02:51 (03:47)","BlueLine Games","BlueLine Games"
"779","Awakening of Solutio","May 27, 2016","$1.99","N/A (N/A)","1,126 ±984","676 ±762","03:48 (02:34)","KP games","KP games"
"786","Preta: Vendetta Rising","Aug 28, 2017","$9.99","N/A (N/A)","1,126 ±984","1,126 ±984","00:39 (00:57)","Illion Corp","Illion America, Inc"
"1038","Aqua Moto Racing Utopia","Nov 30, 2016","$29.99","N/A (N/A)","1,126 ±984","676 ±762","01:45 (00:54)","Zordix AB","Zordix AB"
"340","Pylon: Rogue","Sep 21, 2017","$14.99","N/A (N/A)","1,003 ±1,132","334 ±654","02:02 (01:01)","QuantumSquid Interactive","QuantumSquid Interactive"
"410","TOTOBALL","Sep 11, 2017","$0.99","N/A (N/A)","1,003 ±1,132","334 ±654","00:14 (00:07)","Artur Rezende","Artur Rezende"
